Ano,Mes,Ozonio
1956,1,2
1956,2,"3,2"
1956,3,"3,7"
1956,4,"4,5"
1956,5,"6,1"
1956,6,"6,5"
1956,7,"8,7"
1956,8,"9,1"
1956,9,"8,1"
1956,10,"4,9"
1956,11,"3,6"
1956,12,2
1957,1,"3,3"
1957,2,"2,3"
1957,3,"2,6"
1957,4,"1,6"
1957,5,"8,3"
1957,6,"6,1"
1957,7,9
1957,8,"7,4"
1957,9,"6,5"
1957,10,"4,3"
1957,11,"2,5"
1957,12,"3,3"
1958,1,"6,6"
1958,2,"4,5"
1958,3,"5,4"
1958,4,"4,7"
1958,5,"4,4"
1958,6,"5,9"
1958,7,"6,5"
1958,8,"6,9"
1958,9,"6,9"
1958,10,"3,8"
1958,11,"4,5"
1958,12,"3,2"
1959,1,"4,5"
1959,2,"4,4"
1959,3,"3,5"
1959,4,6
1959,5,"6,8"
1959,6,"8,1"
1959,7,"8,3"
1959,8,"7,7"
1959,9,"7,3"
1959,10,"4,9"
1959,11,"4,6"
1959,12,"3,9"
1960,1,"3,4"
1960,2,3
1960,3,"3,7"
1960,4,"5,6"
1960,5,5
1960,6,"7,4"
1960,7,"7,8"
1960,8,"6,8"
1960,9,"5,6"
1960,10,"6,9"
1960,11,"4,8"
1960,12,"2,8"
1961,1,3
1961,2,"2,9"
1961,3,"4,9"
1961,4,"5,3"
1961,5,"5,9"
1961,6,8
1961,7,9
1961,8,"8,2"
1961,9,"7,3"
1961,10,"4,8"
1961,11,"3,7"
1961,12,"2,6"
1962,1,3
1962,2,"4,2"
1962,3,"3,9"
1962,4,"5,4"
1962,5,"4,6"
1962,6,"7,5"
1962,7,"6,9"
1962,8,"7,1"
1962,9,"5,9"
1962,10,"5,5"
1962,11,"3,4"
1962,12,"2,5"
1963,1,"2,8"
1963,2,"2,3"
1963,3,"2,6"
1963,4,"5,8"
1963,5,"4,4"
1963,6,"7,1"
1963,7,"9,5"
1963,8,"9,2"
1963,9,"7,9"
1963,10,"5,3"
1963,11,"3,9"
1963,12,"3,3"
1964,1,"2,1"
1964,2,"3,6"
1964,3,3
1964,4,"3,8"
1964,5,"4,6"
1964,6,"4,4"
1964,7,"7,7"
1964,8,"6,2"
1964,9,"4,9"
1964,10,"5,1"
1964,11,"3,6"
1964,12,"3,1"
1965,1,"2,5"
1965,2,"3,9"
1965,3,"2,6"
1965,4,"3,6"
1965,5,"5,3"
1965,6,7
1965,7,"8,6"
1965,8,"7,6"
1965,9,"6,6"
1965,10,"5,6"
1965,11,"2,3"
1965,12,"1,6"
1966,1,"2,2"
1966,2,"3,5"
1966,3,"2,7"
1966,4,"5,4"
1966,5,"5,2"
1966,6,"4,9"
1966,7,"8,7"
1966,8,"8,7"
1966,9,"6,6"
1966,10,"5,6"
1966,11,"2,3"
1966,12,"1,6"
1967,1,"2,8"
1967,2,"2,6"
1967,3,"4,5"
1967,4,"4,8"
1967,5,"3,9"
1967,6,8
1967,7,"8,9"
1967,8,"8,1"
1967,9,"7,2"
1967,10,"5,9"
1967,11,"3,3"
1967,12,"2,2"
1968,1,"2,9"
1968,2,"4,1"
1968,3,"3,6"
1968,4,"3,2"
1968,5,"5,9"
1968,6,"6,5"
1968,7,"8,6"
1968,8,"9,3"
1968,9,"6,9"
1968,10,"7,9"
1968,11,"3,8"
1969,12,"2,4"
1969,1,"2,3"
1969,2,3
1969,3,"3,9"
1969,4,"4,8"
1969,5,"4,9"
1969,6,"6,5"
1969,7,"7,2"
1969,8,7
1969,9,"5,8"
1969,10,"4,8"
1969,11,"3,8"
1969,12,"2,3"
1970,1,"2,1"
1970,2,"2,6"
1970,3,"4,1"
1970,4,"3,9"
1970,5,"6,7"
1970,6,"5,1"
1970,7,"7,8"
1970,8,"9,3"
1970,9,"7,5"
1970,10,"4,1"
1970,11,"2,9"
1970,12,"2,6"
